id,title,author,genre,story,thumbnail_url,webtoon_url
20,신은 주사위 놀이를 하는가?,황동,판타지,"어느날 갑자기 신들의 게임에 소환된 도시
최율은 첫지급 보상으로 모든 게임의 공략을 보여주는
'독식의 제물 크라시나 서'를 습득한다.
그러나, 아이템의 능력은 공략을 공유한 모든 이들의 보상을 독식하는 것!
양날 검의 아이템을 얻은 최율은 이 게임에서 끝까지 살아남을 수 있을 것인가!",https://image-comic.pstatic.net/webtoon/817956/thumbnail/thumbnail_IMAG21_92c78720-40f0-4e2b-9e8a-3de0a4afa26a.jpg,https://comic.naver.com/webtoon/list?titleId=817956&tab=dailyPlus
21,"그 악녀, 남자입니다",미세초,로맨스,"가문의 몰락으로 베르눔 대공가에 팔려가게 된 베키.
아름답지만 까칠한 소녀, 리안드를 만나 둘도 없는 친구가 된다.

""내가 남자라면, 어떨 것 같아?""
그런데 우리 공녀님이 남자라니?!
그동안 해온 키스와 포옹은 어떻게 되는 거야!

사랑과 우정의 경계에서 깊어지는 감정과 끊임없이 닥쳐오는 위협!
둘은 과연 해피엔딩을 맞이할 수 있을까?",https://image-comic.pstatic.net/webtoon/817999/thumbnail/thumbnail_IMAG21_4209c218-8ffb-445b-9203-dc16a7fa8239.jpg,https://comic.naver.com/webtoon/list?titleId=817999&tab=dailyPlus
22,족가,서승준,드라마,"강력계 베테랑 형사 아빠와 힙합을 좋아하는 소심한 아들이 어느날 갑자기 몸이 바뀌었다.
아들은 난생처음 강력범죄 수사를 시작하게 되고 아빠는 또 다시 학교를 가게 되는데... 가족이 바뀌었다. 족가!!",https://image-comic.pstatic.net/webtoon/817988/thumbnail/thumbnail_IMAG21_41d75f13-aeda-4dae-8ac0-b05de9bab14b.jpg,https://comic.naver.com/webtoon/list?titleId=817988&tab=dailyPlus
23,지옥락,Yuji Kaku,액션,"최강의 닌자로 이름을 떨쳤지만 탈주하여 붙잡히게 된 가비마루는,
참수 집행인 ‘야마다 아사에몬 사기리’로부터 무죄 방면이 될 수 있는 조건을 제안받는다.
그 조건은 극락정토라고 소문이 난 땅에서 ‘불로불사의 선약’을 손에 넣는 것…!!
삶과 죽음을 깨닫는 인법 낭만 활극, 개막────!!",https://image-comic.pstatic.net/webtoon/808269/thumbnail/thumbnail_IMAG21_23c2a75b-45a1-4687-9209-742f605f9758.jpg,https://comic.naver.com/webtoon/list?titleId=808269&tab=dailyPlus
24,"플레이, 플리",이에프,로맨스,"내 비밀을 유일하게 아는 아이돌이 같은 과 동기? 
아이돌로부터 도착한 수상한 디엠! 
우리가 같은 과 동기라는 사실을 너는 알까?",https://image-comic.pstatic.net/webtoon/753853/thumbnail/thumbnail_IMAG21_3889bbbf-9b81-4d13-ac56-739fa55a48a5.jpg,https://comic.naver.com/webtoon/list?titleId=753853&tab=dailyPlus
25,무한 레벨업 in 무림,김진우,무협/사극,"재능도 없고 출신도 비천했던 하급무사 단유성, 전쟁터에서 죽다. 

하지만 저승인 줄 알고 눈을 떴더니, 어린 시절의 과거로 돌아와 있지 않은가?
이상한 숫자와 문자가 눈 앞에 보이고, 그 지시를 따르면 노력한 만큼 보상을 받기까지 한다.
노력한 만큼의 보상을 받는 세상. 무한레벨업 in 무림에 오신것을 환영합니다.",https://image-comic.pstatic.net/webtoon/816676/thumbnail/thumbnail_IMAG21_f3d709f4-120c-42a6-bc4d-e0c1f607e270.jpg,https://comic.naver.com/webtoon/list?titleId=816676&tab=dailyPlus
26,악마는 없다,없는사람,스릴러,"인터넷 기사인 남자는 기괴한 고객 집에 방문 후 밤새 악몽에 시달린다. 
다음날 스토커에 괴롭힘을 당하는 전 여자친구가 그를 찾아오고, 
아직 미련이 남아있던 남자는 그녀를 도와주려다 끔찍한 사건에 휘말리게 된다.",https://image-comic.pstatic.net/webtoon/807080/thumbnail/thumbnail_IMAG21_8fb89086-c27d-454b-a118-2c93d8125882.jpg,https://comic.naver.com/webtoon/list?titleId=807080&tab=dailyPlus
27,이혼 3초컷 완료해드림,비버,로맨스,"가난한 주인공은 <폭군들이 나 때문에 이혼을 감행한다>의 악녀 로젤리나에게 빙의한다.
로젤리나는 이혼에 동의하면 위자료 500억을 받을 수 있다는 얘기에 이전 생에서 이루지 못한 꿈을 이루고자 선뜻 이혼을 받아들인다.
500억이 생긴다는 기대감에 이혼을 위해 최선을 다하는 로젤리나, 그런데 뭐??
 
"" 로젤리나, 그대는 나와 이혼할 수 없습니다.""",https://image-comic.pstatic.net/webtoon/817761/thumbnail/thumbnail_IMAG21_99343863-92fc-4d03-a1a8-92e9c6068f03.jpg,https://comic.naver.com/webtoon/list?titleId=817761&tab=dailyPlus
28,전생했더니 신입사원,뭉쥐,드라마,"자수성가의 신화, 신우테크의 오너 오창석…
50대 초반 이른 나이에 세상을 떠난 그가, 無스펙 청년 백수 오창석의 몸으로 환생했다.",https://image-comic.pstatic.net/webtoon/801106/thumbnail/thumbnail_IMAG21_2ce6a44b-c9c3-4f8b-a43f-9ec1077eeda9.jpg,https://comic.naver.com/webtoon/list?titleId=801106&tab=dailyPlus
29,퇴마록,운,액션,"대한민국에 신드롬을 일으키며 판매 누적부수 1,000만부 이상을 기록한 대작 판타지를 이제 웹툰으로 만난다.

물귀신에게 동생을 잃고 귀신과 싸우기 위해 태극기공을 수련하게 되는 현암.
미지의 악령으로부터 친구의 딸을 구하지 못해 고행의 길을 걷는 사제를 택한 박신부.
해동밀교의 유일한 생존자로 밀교 5대 호법의 모든 주술을 물려받은 천재소년 준후.
아버지로 인해 미스터리한 사건에 휘말리게 된 숨겨진 비밀을 가지고 있는 승희.

인간의 영적, 정신적 세계를 지배하여 사회를 혼란과 범죄의 온상으로 몰아가는 악한 마귀들을
각자의 사연을 지닌 퇴마사들이 함께 싸우며 해결해 나가는 오컬트 판타지.",https://image-comic.pstatic.net/webtoon/784813/thumbnail/thumbnail_IMAG21_312f6855-bc7a-4a2b-9b7b-97758ba90962.jpg,https://comic.naver.com/webtoon/list?titleId=784813&tab=dailyPlus
30,2회차 최강 고교생,시라이시 아라타,액션,"불량아들의 졸개나 마찬가지였던 이이지마 고세이.
신주쿠 대전으로 인해 여동생을 잃고 트라우마를 앓고 있던 그는 ""강해지고야 말겠어""라는 일념 하나로 세계 레벨의 격투가가 된다.
그리고 어느 날, 종합격투기의 승부를 조작하자는 제안을 거절한 그는 살해당하고, 눈을 뜨니 고등학생으로 돌아와 있었다.
과거에 있었던 모든 것을 바꿀 수 있다면?",https://image-comic.pstatic.net/webtoon/817583/thumbnail/thumbnail_IMAG21_46dc43b4-e114-4487-ae42-9fec64db7881.jpg,https://comic.naver.com/webtoon/list?titleId=817583&tab=dailyPlus
