id,title,author,genre,story,thumbnail_url,webtoon_url
459,크림슨 하트,HYBE,판타지,"'푸른 반딧불이'로 인해 폭주하는 마법의 땅 언노운, 그런 마법으로부터 완전히 차단된 통제도시 레퓨지아
레퓨지아에서 완벽한 시스템을 통해 관리되며 살아가던 소녀들은
어느날 도서관에서 의문의 낡은 책과 붉은 목걸이를 발견한다.
자신들의 손에 쥐어진 것이 무엇인지도 모른 채
소녀들은 푸른 반딧불이를 보고 호기심에 이끌려 아무도 넘지 않았던 장벽을 넘어 도시 밖으로 나간다

소녀들의 손에 쥐어진 전설의 크림슨 하트,
'푸른 반딧불이 섬의 저주를 풀라'는 의문의 메시지.
미지의 땅 언노운을 모험할수록 밝혀지는 레퓨지아의 비밀과 푸른 반딧불이의 진실
...소녀들의 운명은? 크림슨 하트 with 르세라핌",https://image-comic.pstatic.net/webtoon/802733/thumbnail/thumbnail_IMAG21_99fc6540-7391-462a-b08b-326f55a8b354.jpg,https://comic.naver.com/webtoon/list?titleId=802733&tab=fri
460,신의 최애캐,김찹쌀,드라마,"모든 것이 완벽한 고등학생 홍강후. 하지만 딱 하나, 그에게 허락되지 않은 것은 바로 '연애'다.
4월 8일 고백데이를 앞두고 드디어 '모쏠인생' 강후에게도 봄날이 오는가 싶었는데...",https://image-comic.pstatic.net/webtoon/802578/thumbnail/thumbnail_IMAG21_d687ee7c-9d25-4b56-8b89-b0acf3c0662a.jpg,https://comic.naver.com/webtoon/list?titleId=802578&tab=fri
461,호랑이형님,이상규,판타지,"신비한 힘을 가진 아이를 이용하여 세상을 지배하려는 반인반수 흰눈썹!
 
그리고 얼떨결에 아이의 보호자가 된 괴물호랑이 빠르와 착호갑사 지망생 가우리!
이제 힘을 합쳐 흰눈썹으로부터 아이와 세상을 지켜라!!!",https://image-comic.pstatic.net/webtoon/650305/thumbnail/thumbnail_IMAG21_3631086797392995425.jpg,https://comic.naver.com/webtoon/list?titleId=650305&tab=sat
462,99강화나무몽둥이휴재,홍실,판타지,"약육강식이 진리인 가상 현실 게임 '크로노 라이프'.
허접이라며 무시만 당하던 '나'는 우연히 얻은 초보용 기본 무기 '나무 뭉둥이' 를 +99 강화까지 성공하게 되고, 
본인을 무시하던 놈들을 찾아다니며 몽둥이로 무자비하게 패기 시작하는데..!
막장 스케일 사이다 액션 스타트!!",https://image-comic.pstatic.net/webtoon/792651/thumbnail/thumbnail_IMAG21_218f18ef-7f68-4d6a-972c-686a3e9f6138.jpg,https://comic.naver.com/webtoon/list?titleId=792651&tab=sat
463,초인의 시대휴재,섭이,액션,"지구에 근원 모를 괴물들이 출현하고
그들을 제압하는 '초인'들 또한 등장한다.
정체불명의 괴물과 초인, 바야흐로 '초인의 시대'가 도래한다!",https://image-comic.pstatic.net/webtoon/730694/thumbnail/thumbnail_IMAG21_e6fc219d-e5ea-4d93-b7d6-45b595c2a3cb.jpeg,https://comic.naver.com/webtoon/list?titleId=730694&tab=sat
464,마도전생기,포스스튜디오,무협/사극,"정파무림 의천맹의 최강 살수, 천하진.

자유를 찾기 위해 탈출을 감행하지만 코앞에서 목숨을 잃고 만다.

그런데… 
'신교불패, 만마앙복. 삼공자님의 쾌유를 경하드리옵니다!'
무림의 공적, 마교의 삼공자로 전생해버렸다?!

정파무림 최강 비밀병기 천하진의 마도무림 정복기.",https://image-comic.pstatic.net/webtoon/807777/thumbnail/thumbnail_IMAG21_e47489ea-bf97-4726-a8e7-6403092a303a.jpg,https://comic.naver.com/webtoon/list?titleId=807777&tab=sat
465,망나니 소교주로 환생했다,재무,무협/사극,"무림의 정쟁에 휘말려 독살당한 고금 제일의 기재, 양자각.
분명 죽은 줄로 알았으나 정신을 차리게 되고, 자신이 다른 사람의 몸에 들어와 있다는 것을 알게 된다.
알고 보니 자신이 있는 곳은 마교, 익힌 무공은 천마신공,
이 몸의 주인은 여색을 탐하고 악귀보다 더한 짓을 하는 망나니 소교주?
왜 하필이면 마교에다 이 사람인가!?",https://image-comic.pstatic.net/webtoon/773796/thumbnail/thumbnail_IMAG21_8ecfa6b5-8018-4640-8a4b-97e14d06a4c5.jpg,https://comic.naver.com/webtoon/list?titleId=773796&tab=sat
466,개꿈,신송림,드라마,"독서실 알바이자 공시생인 27살 윤빛나는 잘생긴 파트너 강경준과 잠자리를 가지며,
그에게 재벌 3세 여자친구 차현주가 있다는 사실을 알면서도 관계를 끊어내지 못하는데...",https://image-comic.pstatic.net/webtoon/818791/thumbnail/thumbnail_IMAG21_a613db8b-8319-4bfe-8971-1df89f4df979.jpg,https://comic.naver.com/webtoon/list?titleId=818791&tab=sat
467,작전명 순정,꼬까리,로맨스,"내 남자친구와 절친의 키스를 목격했다. 그것도 하필이면 재수 없는 같은 반 남자애 '고은혁'과 함께.
안 그래도 혼란스러운데.. 사람마다 평생 받을 사랑의 양이 정해져있다고?? 심지어 내가 받을 수 있는 사랑의 양은 '0'???
알거지 운명을 바꿔보려는 수애와, 그런 수애에게 말려든 은혁의 맞바람 작전!
바람피우는 '척'만 하려고 했는데 점점 진짜로 끌린다?! 이 계획... 과연 성공할 수 있을까?",https://image-comic.pstatic.net/webtoon/793275/thumbnail/thumbnail_IMAG21_30c77a8d-ada1-40f8-b87a-d02bb05e7e13.jpg,https://comic.naver.com/webtoon/list?titleId=793275&tab=sat
468,아홉수 우리들,수박양,로맨스,"연애, 직장, 시험 어느 하나 뜻대로 되지 않는 29살 봉우리, 차우리, 김우리. 
제대로 걸렸다! 아.홉.수!
우리들의 팩트폭행 로맨틱 코미디!",https://image-comic.pstatic.net/webtoon/724815/thumbnail/thumbnail_IMAG21_4bdd52f2-bbc9-4524-b44b-adc1e7208f93.jpg,https://comic.naver.com/webtoon/list?titleId=724815&tab=sat
469,귀환했는데 입대 전날이다,해일,판타지,"대한민국의 평범한 고3이었던 김민준은 갑자기 이세계로 소환 당해 흑마법사가 되었다.
집으로 돌아가겠다는 일념으로 온갖 고난을 뚫고 흑마법으로 이세계를 구한 민준.
영웅으로서의 삶과 보장된 부귀영화를 뿌리치고 지구로 복귀한다.
그토록 기다리던 고향의 문물을 즐기려고 하던 차, 문제가 생겼다.
터져버린 던전, 쏟아지는 몬스터들이 이제 막 귀환한 민준의 안락한 지구 라이프를 위협하는 것도 모자라...
귀환 하루만에 입대를 하라고!?!!",https://image-comic.pstatic.net/webtoon/807393/thumbnail/thumbnail_IMAG21_aff8a206-014c-471f-9e91-c569940ad8e5.jpg,https://comic.naver.com/webtoon/list?titleId=807393&tab=sat
470,나를 바꿔줘,이지호,드라마,"수상한 생명보험에 드는 조건으로, 하루 아침에 내가 원하는 외모로 살 수 있게 된다면? 
인생을 바꾸기 위해 얼굴을 훔치다!",https://image-comic.pstatic.net/webtoon/733280/thumbnail/thumbnail_IMAG21_cf0ca5a3-b4be-4f10-a3b3-ed0274de8d8e.jpg,https://comic.naver.com/webtoon/list?titleId=733280&tab=sat
471,얼짱시대,박태준 만화회사,드라마,혼란과 낭만이 가득했던 그 시대,https://image-comic.pstatic.net/webtoon/813335/thumbnail/thumbnail_IMAG21_aa6adfc2-a77f-47cb-bb2e-97214f27b301.jpg,https://comic.naver.com/webtoon/list?titleId=813335&tab=sat
472,은탄,김규삼,판타지,"흡혈귀와 요괴, 무당이 창궐한 혼란의 조선, 자신을 암흑어사라 칭하는 박문수가 타락한 관아를 파괴하고 다닌다. 다급해진 조정에서는 흡혈귀 왕의 부활을 노리는 암흑어사 박문수를 토벌하라 명하기 위해 갓 무과에 급제한 무관 안손에게 도술과 무술에 능한 도적 홍킬동을 찾아오라 태백산으로 파견한다. <하이브>의 김규삼 작가가 선사하는 요괴 퇴마 개그 판타지 시대극!",https://image-comic.pstatic.net/webtoon/787500/thumbnail/thumbnail_IMAG21_7090184484697487202.jpg,https://comic.naver.com/webtoon/list?titleId=787500&tab=sat
473,왕의 힘으로 회귀한다,성현,판타지,"무시, 멸시, 괴롭힘이 당연한 비각성자의 삶.

빌어먹을 루저...
빌어먹을 인생...
빌어먹을 각성..!
 
그리고 빌어먹을 죽음의 순간,
나는 기이한 존재 '왕'을 만난다.

 눈 부신 빛과 함께 다시 시작된 또 한 번의 삶.
하지만 이번에는 다르다.
이제 나도 각성자니깐!

내 앞길을 방해하는 모두를 집어삼키고
다시는 누군가에게 고개 숙이는 삶을 살지 않을 거다.",https://image-comic.pstatic.net/webtoon/817958/thumbnail/thumbnail_IMAG21_542523dc-b304-4a0b-9078-0b780c9b05d2.jpg,https://comic.naver.com/webtoon/list?titleId=817958&tab=sat
474,세레나,정이나,로맨스,"""너는 절대로 내 세레니티의 주인이 될 수 없어."" 
세레니티 가문의 유일한 상속자가 된 세레나. 
위태로워진 가문을 살리기 위해, 그녀의 할머니는 그녀를 왕국에서 가장 증오하는 남자와 결혼시켜버렸다. 
무너져가던 세레나를 위로할 수 있는 건 오직 그녀의 애첩 프리드릭 뿐. 
아름답고 찬란했던 세레니티의 그 여름날, 뜨거운 증오와 사랑으로 얽혀버린 세 사람의 이야기.",https://image-comic.pstatic.net/webtoon/801475/thumbnail/thumbnail_IMAG21_63818a49-407c-4d1d-8f9a-e541285abdd9.jpg,https://comic.naver.com/webtoon/list?titleId=801475&tab=sat
475,물위의 우리,뱁새,드라마,"수차례의 지각변동 이후 해수면이 급격히 상승한 지구. 딸 한별이에게 더 넓은 세상을 보여주고 싶은 호주는 한별이와 고향으로 향한다. 
20년 만에 찾은 고향에는 수상한 행적들이 가득한데...과연 둘은 무사히 살아갈 수 있을까?
2020 최강자전 최우수상 수상작!",https://image-comic.pstatic.net/webtoon/780404/thumbnail/thumbnail_IMAG21_e9eccbd9-b1c1-49b9-81a8-5bee3291315f.jpg,https://comic.naver.com/webtoon/list?titleId=780404&tab=sat
476,킬러경찰,이제환,액션,"조직의 배신으로 죽게 된 전설의 킬러 ‘비광’, 경찰 ‘김경수’의 몸으로 환생한 그는 자신을 배신했던 킬러조직 화국사에게 복수를 다짐한다.",https://image-comic.pstatic.net/webtoon/808439/thumbnail/thumbnail_IMAG21_19387806-c0b0-4669-8fac-90607bbe12d6.jpg,https://comic.naver.com/webtoon/list?titleId=808439&tab=sat
477,나이트런,김성민,판타지,"우주력 430년. 성간이동이 가능해져 별과 별을 이동하는 시대
인간은 괴수와 싸우고 있다. 기사와 함께.광활한 우주를 배경으로 판타지 SF가 다가온다.",https://image-comic.pstatic.net/webtoon/64997/thumbnail/thumbnail_IMAG21_3834645974328108595.jpg,https://comic.naver.com/webtoon/list?titleId=64997&tab=sat
478,킬러 배드로,김정현,액션,"배신당한 노인킬러 회춘하다!
그런데... 아무도 날 못 알아봐?! 
""그럼 내가 최강이지!""",https://image-comic.pstatic.net/webtoon/816798/thumbnail/thumbnail_IMAG21_c141fe1d-eeb4-4e88-a0d5-df45d23804a3.jpeg,https://comic.naver.com/webtoon/list?titleId=816798&tab=sat
